Subs,cancellation_date
491052,NULL
491202,NULL
491615,NULL
491706,NULL
491708,NULL
491766,NULL
491858,NULL
491909,NULL
492036,NULL
492323,NULL
492500,NULL
492615,NULL
492714,3/22/16
492716,3/2/16
492750,NULL
492814,NULL
492917,NULL
493027,NULL
493244,NULL
493362,NULL
493408,NULL
493492,NULL
493493,NULL
493494,NULL
493546,NULL
493598,NULL
493677,NULL
493691,NULL
493763,NULL
493890,NULL
494018,NULL
494145,NULL
494492,NULL
494616,NULL
494707,NULL
494822,3/29/16
494839,3/13/16
494876,NULL
494970,4/2/16
494974,NULL
494986,NULL
495126,NULL
495205,NULL
495214,NULL
495261,NULL
495301,NULL
495353,NULL
495401,NULL
495421,4/9/16
495431,NULL
495502,NULL
495654,NULL
495658,NULL
495713,NULL
495770,NULL
495889,NULL
495907,NULL
495922,NULL
495924,NULL
495978,NULL
496006,NULL
496018,NULL
496124,NULL
496351,NULL
496499,NULL
496581,NULL
496671,NULL
496820,NULL
496825,NULL
497034,NULL
497142,NULL
497201,NULL
497217,3/6/16
497222,NULL
497330,NULL
497338,NULL
497340,NULL
497342,NULL
497349,NULL
497435,NULL
497441,NULL
497466,NULL
497469,NULL
497703,NULL
497759,NULL
497839,NULL
497904,NULL
497983,NULL
498020,NULL
498074,NULL
498111,NULL
498134,NULL
498201,NULL
498312,NULL
498515,NULL
498533,NULL
498592,NULL
498598,NULL
498732,NULL
498742,NULL
498743,NULL
498773,NULL
498913,NULL
499162,NULL
499287,NULL
499376,NULL
499426,4/1/16
499501,NULL
499523,NULL
499625,NULL
499761,4/9/16
499883,NULL
499979,3/20/16
500034,NULL
500036,NULL
500038,NULL
500103,NULL
500306,NULL
500322,NULL
500357,NULL
500363,NULL
500406,NULL
500433,NULL
500450,NULL
500481,NULL
500577,NULL
500646,NULL
500669,NULL
500738,NULL
500926,NULL
500963,NULL
501006,NULL
501070,NULL
501150,NULL
501151,3/10/16
501158,4/3/16
501211,NULL
501316,NULL
501412,NULL
501658,NULL
501720,NULL
501930,NULL
502172,NULL
502279,NULL
502338,NULL
502522,NULL
502715,NULL
502842,NULL
502929,NULL
502954,4/1/16
503071,NULL
503116,NULL
